,Body
187,"Wenn Sie Push-Mitteilungen über Ihren Browser nutzen, wechseln Sie bitte in die Einstellungen, wählen dort Inhalt aus und gelangen so zu den speziellen Einstellungen für Benachrichtigungen. Dort können Sie in Firefox etwa alle Benachrichtigungen deaktivieren (""Mich nicht stören"" auswählen) oder die Website derStandard.at für Benachrichtigungen ganz entfernen.

Eine ausführlichere Beschreibung des Push-Mitteilung-Service mit Screenshots finden Sie hier: http://derstandard.at/2000030642258/Eiltmeldungen-und-wichtige-Ereignisse-als-Push-Mitteilung-von-derStandardat"
188,"Die größte Herausforderung war das Reißbrett in Geometrisch Zeichnen, für Linkshänder total unbrauchbar und meine 4 war noch geschenkt."
189,"Beste Grüße an alle Mit-Lefties dieser Erde und auch Nicht-Erde!!! 

Erfahrungen: 
# wirkliche Probleme, sehr eindrücklich als Kind zB beim Werken/Basteln, haben mir immer bestimmte Scheren gemacht (die z.B. dann total in der Hand weh tun, wenn links gehalten, oder einfach eher reißen als schneiden) 

# das eindrücklichste Erlebnis ist ein paar Jahre her: in einer Café-Lokation auf der Wiener Währinger Straße wurde mir meine Melange in einer Tasse serviert, deren ""ergonomisch"" schiefer/geschwungener Griff für eine rechte Hand (wohl) sehr gut passt - mit der linken Hand kann man das Häferl dadurch aber praktisch kaum halten...
 
# beim Sporteln war mein Lefty-tum, glaub ich, immer nur ein Vorteil :-) ;-)"
190,"Eben diese Erfahrung wollte ich auch teilen. Diese herrlich geschwungenen Tassen fühlen zu einem (sehr leichten) Gefühl des Menschseins 2. Klasse - vor allem deshalb, weil es wohl nie passieren wird, dass der Kellner bei Aufnahme der Bestellung nachfragt: ""Links- oder Rechtshänder?"".

# Klavierspielen: Erschien mir relativ aufwändig, ein gespiegeltes Klavier anfertigen zu lassen, allerdings macht das nichts, weil durchs Linkshändersein ein etwas anderer Stil entsteht - bild ich mir zumindest ein."
191,"Also ich schreib von rechts nach links, da sind die Handbewegungen schön flüssig. Ausser wenn's für andere ist, dann nehm' ich aber gleich die rechte Hand. Und am Computer hätte ich gern dass man den Bildschirm spiegeln kann, mit dem Rotieren bekommt man zwar auch eine Schriftbewegung von rechts nach links, aber die Buchstaben und Bilder stehen dann Kopf..."
192,"Ich liebe es - da ich glaube das es gewissenmaßen das Gehirn anregt.

Ich halte z.B. die Gabel und den Löffel in der linken Hand, das Messer in der Rechte.
D.h. ich habe als Kind schneller besser Essen gelernt, da eine Hand die Bewegung zum Mund beherrschte, die andere das Schneiden mit dem Messer.

Ich verstehe bis heute nicht warum die Rechtshänder wechseln. Ich lache mich innerlich immer krumm wenn ich manche amerikanischen Kollegen beim Essen treffe die mühsam das Essen kleinschneiden um dann die Gabel ( ohne Messer ) von Links nacht Rechts wechseln.

Ansonsten fördert es meiner Meinung die Kreativität und Flexibiltät ungemein"
193,"Klavier habe ich gelernt, naturgemäß ein wenig mühsam. Die Gitarre ist auf Links gepannt. Auf dem Snowboard stehe ich goofy.

Tippen auf dem Smartphone, Ziffernblock nur mit Rechts. - Dafür kann ich rechts auch schreiben. ( sieht aber wie 3 Klasse Volksshule aus )"
194,"also schreiben und seltsamerweise zähne putzen, obwohl die zahnbürste ja gar kein spezifisch ""rechter"" gegenstand ist, tu ich mit der rechten hand, alles andere mit der linken. lustig sieht das aus, wenn ich vor einem flipchart oder einer tafel stehe: habe zwei stifte, mit der linken hand zeichne ich was auf, mit der rechten schreibe und beschrifte ich. :-)"
195,"Andere Sachen, etwa Scheren oder mit dem Löffel essen, gehen nur links.

Ich kann nicht stricken/häkeln, weil noch 1988 die Volksschulhandarbeitslehrerin, eine selten blöde Kuh, sich geweigert hat, mir das ""falsch rum"" beizubringen. Eine der wenigen Gelegenheiten, bei denen meine sanftmütige Mutter jemandem den Marsch geblasen hat. Da sie in den 1950ern noch mit Gewalt umerzogen wurde, ist sie beim ""falschen Handi"" schwer sensibel. Und ich auch. So ein Rechtshänderhäferl kriegert der Kellner zurück geschmissen.

Ich bin aber froh, dass meine Töchter Rechtshänder sind. Sie werden leichter schreiben lernen, tun sich beim Basteln nicht schwer, werden nie teurere Extraanfertigungen brauchen. So gern ich ""speziell"" bin, manchmal ist es mühsamer."
196,...mit der Linkshändigkeit zu tun?
197,"...der Klingen? Und präzises Schneiden mit einer Rechtshändrschere auf links sollte auch schwierig sein, weil die Schnittkante von der oberen Klinge verdeckt wird."
198,"Links ist besser als Rechts - 

Sagen auch der Faymann und unser HBP :-)

Auch ja - man kann die Bürokollegen vor noch zu Weißglut treiben wenn man die Maus auf die andere Seite legt und dann noch die Tasten verdreht. Der Servicedesk meiner Firma ( sitzt in Indien ) verzweifelt immer wenn er meinen Desktop braucht und ausser dem Kontextmenü geht gar nicht bis ich ihnen die Tasten gnädigerweise umstelle."
199,Fremder machen
200,"Ich kenn deutlich mehr Linkshänder, die aufm Snowboard oder Skateboard goofy stehen, als regular.
Ich selber auch, und wenn der extrem fähige Schilehrer das 1993 auch kapiert hätte, hätte ich wohl damals gleich Freude am Snowboarden gehabt, wäre mir nicht drei Stunden lang nur dumm vorgekommen und nur hingefallen, und hätte es wohl damals gleich gelernt und nicht erst mit 30..."
201,"# Besteckhalten mach ich genauso, also ""einhändiges"" Essen mit links, bei Gabel-Messer-Essen die Gabel in der linken, das Messer rechts --- grade Knopf im Hirn: wie halten rechtshändige Menschen Gabel&Messer ?? 

# Auf Boards steh ich ebenso goofy. 

# Die Sachen zu Musikinstrumenten find ich sehr spannend: beim Klavier wär ich noch nie auf die Idee gekommen, irgendwie etwas anders haben zu wollen, Schlagzeug spiel ich ""verkehrt"", Gitarre (so wenig ich das auch tue) ""regular""..."
202,"ich hatte damals ein (so in der frühen 90er ) so ein Snowboard...da ging das nicht anders.. http://upload.wikimedia.org/wikipedia/commons/2/28/White-Snowboard-With-Bindings.jpg.. bei mir ist der linke Fuß vorne

auf dem Roller stehe ich auch mit den anderen Fuß als Rechtshänder. Oder beim Fußball ist auch anders rum."
203,"Komme links gut durchs Leben, habe nur mit den Kaffeetassen von Meinl mein Problem - die Henkel sind für Rechtshänder designed"
204,"Bin zwar reiner Rechtshänder, halte das Messer aber links weil ich mir das von meinem Dad abgeschaut habe. Im Kochunterricht wollte die Lehrerin mich zwanghaft umerziehen, da ich das aber überhaupt nicht gewohnt war und es etwas komisch aussah wurde ich zum Gespöt der anderen Kinder, danke nochmal dafür!"
205,"Ich bin Rechtshänder, fahre Goofy und kicke mit Rechts. Sie sind Linkshänder, fahren Goofy und kicken mit rechts. Dann gibt es Rechtshänder, die kicken mit links und Linkshänder, die kicken mit links.

Mir wär da kein Zusammenhang bekannt, aber nur, weil mir keiner bekannt ist, muss es nicht sein, dass er nicht da ist.

Welches Auge ist ihr Führungsauge? Meines das rechte. Ich würde annehmen, wie bei den meisten, denn beim Heer wurden keine ""Linksäuger""-Sturmgewehre ausgegeben, wenngleich es welche gab. Der Patronenauswurf ist so weit hinten, da wär es eine schlechte Idee, mit dem linken Auge zu zielen, wenn der Auswurf rechts ist. Die Patronenhülsen sind richtig heiß, die will man nicht ins Gesicht bekommen."
206,"wenn mir jemand bezüglich meiner handwerklichen Fähigkeiten gesagt hat, dass ich zwei Linke habe, habe ich mich für das Komplement bedankt."
207,"in meiner Kindheit gab es zwar schon Linkshänder-Scheren, doch mit denen kam ich gar nicht zurecht. Meine Lösung war rechts mit einer ""normalen"" Schere Schneiden, doch das Schneidgut mit der linken Hand führen. 
Geht bei Papier recht gut, bei Stoffen das nächste Dilemma......"
208,"mit psychischer & physischer Gewalt wurde ich in der VS auf ""Rechts"" getrimmt, war sehr mühsam linksläufige Schrift ohne Dreher zu lesen / schreiben. Große Schwierigkeit bis heute Musiknoten zu lesen.

Nun; Schreiben rechts, Zeichnen u. Malen links, wenn sinnvoll aber auch rechts.
Stäbchenessen links, Werkzeuggebrauch radikal links, komme aber mit den Rechtshänderwerkzeugen i.d. Regel gut zurecht. Musikinstrumente werden normal gespielt, vielleicht wäre die Bogenführung subtiler, aber die Linke als Greifhand taugt mir auch!

Besonders überraschend war die Entdeckung, dass ich mit der Linken ohne jedes Training völlig flüssig Spiegelschrift schreiben kann, wie ein Automat, nur zum Lesen bräucht ich einen Spiegel.

...werch ein illtum..."
209,"Was hab ich mir immer schwer getan beim Steno oder geometrisch Zeichnen auch die meisten Scheren....ein Drama!
Auch mein damaliger Lehrherr meinte: ""Was du schreibst mit der Linken....das ist nur Faulheit..."""
210,"rechts halte ich für einen Vorteil für Linkshänder, weil Lenken und Schalten gleichzeitig geht und die Führungshand die feinmotorische Bewegung des Lenkens übernimmt. Das Gaspedal rechts war am Anfang etwas komisch für mich als Linkshänder (und Linksfüßer)."
211,"schon gewundert, dass fast alle amerikanischen Präsidenten Linkshänder waren oder sind. Die einzige Ausnahme, die mir einfällt, ist George W. Bush.
Bill Clinton, Bush senior, Jimmy Carter und Obama sind Linkshänder."
212,"ich bin rechtshaenderin u mache viel links, um nicht gar so einseitig zu sein"
213,"sind Linksfüßer. Es kommt stark auf die tätigkeit an. Wie schaufeln Sie z.B.?
Ich kann beides, die linke Hand oben ist mir (Linkshänder, Linksfüßer, Führungsauge links) aber lieber"
214,cool - weiter so!
215,"am allerschlimmsten sind saucenschöpfer mit schnabel... da kann ich machen was ich will, ich kann diese teile einfach nicht bedienen.. die sauce rinnt überall hin, nur nicht auf den teller..."
216,"ontopic:

Computermaus, Besteck normal.
Ballsport und Schreiben links."
217,"Wenn bei Ihnen der linke Fuß vorne ist, dann stehen Sie doch regular ;)"
218,"Es kommt auf die Schere an: Wenn die Klingen eng verbunden sind -> kein Problem. Problematisch ist die Nagelschere. Die reisst mehr als sie schneidet, da man sich mit der linken Hand die Klingen auseinanderdrückt."
219,"Ich bin geborene Linkshänderin, habe mich aber als Kind freiwillig in vielem auf rechts umgestellt, weil mir erklärt wurde, linkshändig zu sein sei zwar völlig ok, könne aber unpraktisch sein, weil eben die meisten Dinge für rechtshändigen Gebrauch angelegt sind. 

Die Kombination von Veranlagung und Umstellung hat zu dem für mich sehr angenehmen Resultat geführt, daß ich nun weitgehend beidhändig bin und fast alles links- und rechtshändig gleich gut kann. Generell gilt, je diffiziler die Tätigkeit, desto lieber/besser mache ich sie links - z.B. Zeichnen, Basteln, mit-Stäbchen-essen. 

Handarbeiten (rechtsherum) war lange ein Problem, da funktionierte die Feinmotorik erst im Teenager-Alter."
220,"(Grün von mir alleine schon für die wunderschöne Formulierung ""das Schneidgut mit der linken Hand führen""... <3 :-)"
221,"ich mach alles mit rechts, außer essen und kämmen - ersteres führt gelegentlich zu komplikationen, wenn wenig platz am tisch ist"
222,"Und bei den Bankomaten fällt mir auf, dass das Einführen und Abziehen der Karte auch für Rechtshänder konzipiert ist.
Lineal, Schere etc. für Linkshänder finde ich eher irritierend als erleichternd, wenn man seit Jahrzehnten den Umgang mit den rechtshändigen Instrumenten gewohnt ist."
223,"Alles mit rechts, aber Autofahren nur einhändig mit links. Lernt man gezwungenermassen beim 680er fahren im Bundesheer (unsynchronisiertes Getriebe)."
224,"Also schlechte Erfahrungen.
http://www.linkshaenderberatungsstelle.de/folg.htm"
225,"Ist zwar recht reißerisch aufgemacht, aber angenehm wissenschaftlich geschrieben. Die Lateralisation von Händen, Füßen, Augen, Ohren (sogar Nase) ist da beschrieben."
226,"wir linkshänder haben das glück, teilweise beidhändig zu sein...

ich arbeite daran, möchte es noch erleben, dass ich mit rechts genauso schnell schreibe wie mit links (vielleicht weniger saukrallig)...

scheren beherrsch ich weder mit rechts noch mit links wirklich gut, für den alltag gehts aber...

ich ermutige alle, so beidhändig wie möglich zu sein: macht dinge einfacher und hält das hirn auf trab...
und beidfüssig sein natürlich auch..."
227,"...eine Rechtshänder-Umerziehung in der Volksschule entgangen - Schulbeginn 1969... da habe ich Erfahrungsberichte von anderen, die wurden in die Sonderschule gesteckt, weil als ""behindert"" eingestuft... war zwar am Land, aber doch arg damals... sonst halt a bisserl Verwischen beim Füllfederschreiben, aber dafür alle wichtigen Buchstaben auf der Tastatur links :-)"
228,"H&M-Herrenhosen mit Knöpfen am Hosenschlitz meide ich eher... das kann in der Eile mächtig ""gefährlich"" werden ;-)"
229,"Ich bin auch eine umgelernte Linkshänderin... Schneiden, Handwerken, Basteln, aber auch Schminken, Kämmen, alles mit Links, aber Schreiben mit Rechts. Das regt mich jetzt an, das Stäbchenhalten einmal mit Links zu probieren, mit Rechts krieg ich immer einen Krampf...
Ein Streichholz anzuzünden geht zwar beidhändig, links ist es aber selbstverständlicher."
230,"als Folge von Sehnenscheidenentzündung rechts wegen der depperten Maus...

spezialisierter, angelernter Linkshänder sozusagen und es funktioniert gut..."
231,
232,"Bin ein halber Linkshänder: Schreiben, Besteck halten etc mach ich mit Links. Bei anderen wie die oben zitierte Maus oder beim Tennis verwende ich den rechten Arm. Wie es eingelernt wurde, damals. Musste zwar in der Schule (gerade noch) nicht mehr umlernen aber vieles wurde einem halt ""mit rechts"" beigebracht. Heute muss ich bei neuen Tätigkeiten probieren, auf welcher Seite es besser geht."
233,"Da suche ich schon lang linkshändigen Ersatz, ja :("
234,kleine Anekdote: Gerhard Schröder hat alle Verträge immer mit links unterzeichnet - bis auf jene bei Gazprom :)
235,"Zum Sport: Wer schießt (wie ich) beim Fußball mit rechts? Wer ist links unterwegs?

rot=links
grün=rechts"
236,"Wie gesagt, ich kenne da keine einschlägigen Studien und kann daher nur auf meine subjektiven Beobachtungen zurückgreifen. Ich kenne viele rechtshändige Linksfüßer und aus dem Wehrdienst sind mit keine Linksäuger bekannt. Da ich in meiner Zeit für die Zuteilung und Ausgabe der Gewehre mitverantwortlich war, hätte ich Reklamationen schon mitbekommen. Aber mir ist auch klar, dass da kaum jemand groß reklamieren wird als GWD."
237,saucenschöpfer mit schnabel und dazu gehören auch noch messer vom fischbesteck .... habe ich mittlerweile aufgegeben und schneide einfach mit der falschen seite ....
238,"Ein rotes für ""normal"". ;-)"
239,Weiss jemand wo man Kaffeehäferl für Linkshänder bekommt?
240,"Habe insgesamt sehr positive Erfahrungen gemacht. Habe mir in der Schule die Schreibhaltung von unten beigebracht - hat sich mit der Füllfeder allerdings zu Anfang immer stark verwischt, damit kämpfte ich ein wenig. 
Da nicht immer eine Linkshänder-Schere vorhanden war, habe ich mir das Schneiden auch mit rechts beigebracht, kann ich heute fast besser als mit links. 
Die Maus liegt bei mir links, allerdings sind die Tasten nicht umprogrammiert.
Was mich nervt sind die Sparschäler, da muss ich immer schauen, einen schwenkbaren zu finden der für beide Hände geeignet ist."
241,"Was machen die Abermillionen Rechtshänder in GB, Japan Australien und anderswo, wo Linksverkehr herrscht? Die schalten alle mit links, und das ist genaugenommen sogar besser, da die Haupthand lenken soll, und nicht schalten."
242,http://www.linkshaender.de/a_lnk_produkte_details.html?artikelnr=lnk01-10250
243,"Schere und Computermaus: rechts.
Alles andere: normal, also links.

Ärgerliche Rechtshänderprodukte: 
* Festnetztelefone mit dem Hörer links 
* Schöpfer und Häferl mit einseitiger Schnaupe links
* Hohlmaße mit einseitiger Innenskala, die nicht zentriert ist
* Geldbörsen
* Bankomaten
* praktisch alle elektr. Handwerkzeuge (Bohrer, Flex etc.)
* Pianos
* etc. etc

Überraschend für mich ist, dass die Verkäuferinnen im Handel oft nicht genug räumliches Vorstellungsvermögen haben um zu erkennen, warum das nicht egal ist. 
Nicht überraschend, sondern ärgerlich, weil wir 45% nicht laut genug dagegen aufbegehren, ist, wie uninteressiert (""zu teuer"") viele angefragte Unternehmen (z.B. ein berühmter öst. Emaillehersteller wegen der Häferl) sind."
